Point X,Point Y,Street Address,City,Postal Code,Planting Site Width,Planting Site Length,Planting Site Id,Custom Id,Updated At,Updated By,Tree Id,Tree Present,Genus,Species,Cultivar,Other Part Of Name,Common Name,Diameter,Tree Height,Canopy Height,Date Planted,Date Removed,Tree: Canopy Condition,Tree: Stewardship,Tree: Tree Condition,Planting Site: Plot Type,Planting Site: Powerlines Overhead,Planting Site: Sidewalk Damage,Planting Site: Stewardship
-75.1433114013,39.9556841522,,Philadelphia,19106,,,368217,,2014-09-29T22:19:42.207152+00:00,ptmadmin,280128,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1448047736,39.9507144735,22 Church Street,Philadelphia,19106,,,370230,,2014-09-29T22:20:32.378868+00:00,ptmadmin,282255,True,Tilia,cordata,,,Littleleaf linden,,,,,,,,,,,,
-75.1439681784,39.953242813,133 N Bread St,Philadelphia,19106,,,368290,,2014-09-29T22:19:43.599871+00:00,ptmadmin,280187,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1445090405,39.9552091752,231-249 North 3rd Street,Philadelphia,19106,,,368278,,2014-09-29T22:19:44.412718+00:00,ptmadmin,280221,True,Acer,rubrum,,,Red maple,,,,,,,,,,,,
-75.1497778521,39.9539572816,190 N Independence Mall W,Philadelphia,19106,,,368354,,2014-09-29T22:19:45.845237+00:00,ptmadmin,280282,True,Quercus,alba,,,White oak,,,,,,,,,,,,
-75.1505182614,39.9497628227,41 South 6th Street,Philadelphia,19106,,,340942,,2014-09-29T22:20:25.541825+00:00,ptmadmin,281963,True,Quercus,bicolor,,,Swamp white oak,,,,,,,,,,,,
-75.1472728586,39.9504921285,,Philadelphia,19106,,,370071,,2014-09-29T22:20:27.737720+00:00,ptmadmin,282058,True,Acer,rubrum,,,Red maple,,,,,,,,,,,,
-75.1480173606,39.9473778713,409 Walnut St,Philadelphia,19106,,,373619,,2014-09-29T22:21:51.693697+00:00,ptmadmin,285526,True,Quercus,shumardii,,,Shumard oak,,,,,,,,,,,,
-75.1461879331,39.9541184889,322-398 Race Street,Philadelphia,19106,,,368173,,2014-09-29T22:19:41.041075+00:00,ptmadmin,280078,True,Prunus,serrulata,,,Kwanzan cherry,,,,,,,,,,,,
-75.1443179406,39.94763479,,Philadelphia,19106,,,370157,,2014-09-29T22:20:29.616152+00:00,ptmadmin,282138,True,Ginkgo,biloba,,,Ginkgo,,,,,,,,,,,,
-75.148186745,39.9473980659,409 Walnut Street,Philadelphia,19106,,,373620,,2014-09-29T22:21:51.716472+00:00,ptmadmin,285527,True,Quercus,rubra,,,Northern red oak,,,,,,,,,,,,
-75.1516171108,39.9547844134,,Philadelphia,19106,,,367957,,2014-09-29T22:19:36.215413+00:00,ptmadmin,279889,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1429869663,39.9550981184,,Philadelphia,19106,,,368237,,2014-09-29T22:19:42.708673+00:00,ptmadmin,280149,True,Ginkgo,biloba,,,Ginkgo,,,,,,,,,,,,
-75.1460321932,39.9557304306,,Philadelphia,19106,,,368335,,2014-09-29T22:19:45.288709+00:00,ptmadmin,280258,True,Quercus,acutissima,,,Sawtooth oak,,,,,,,,,,,,
-75.1503188311,39.9492350984,561-599 Chestnut Street,Philadelphia,19106,,,369740,,2014-09-29T22:20:20.252452+00:00,ptmadmin,281732,True,Quercus,acutissima,,,Sawtooth oak,,,,,,,,,,,,
-75.151732177,39.955049147,204 N Franklin St,Philadelphia,19106,,,367969,,2014-09-29T22:19:36.170044+00:00,ptmadmin,279887,True,Tilia,tomentosa,,,Silver linden,,,,,,,,,,,,
-75.1418938721,39.9537054676,138 N Front St,Philadelphia,19106,,,368157,,2014-09-29T22:19:40.711903+00:00,ptmadmin,280064,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.145046521,39.9545816178,Florist St,Philadelphia,19106,,,340796,,2014-09-29T22:19:43.156254+00:00,ptmadmin,280168,True,Pyrus,calleryana,,,Callery pear,,,,,,,,,,,,
-75.1452517183,39.9563660152,,Philadelphia,19106,,,366884,,2014-09-29T22:19:11.922237+00:00,ptmadmin,278856,True,Pyrus,calleryana,,,Callery pear,,,,,,,,,,,,
-75.1457484976,39.9554598688,301-315 New Street,Philadelphia,19106,,,368250,,2014-09-29T22:19:43.032793+00:00,ptmadmin,280163,True,Ginkgo,biloba,,,Ginkgo,,,,,,,,,,,,
-75.1531137397,39.9511576436,701-799 Market Street,Philadelphia,19106,,,369229,,2014-09-29T22:20:07.104860+00:00,ptmadmin,281166,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1530950222,39.9495633915,,Philadelphia,19106,,,369282,,2014-09-29T22:20:08.356066+00:00,ptmadmin,281220,True,Ulmus,americana,,,American elm,,,,,,,,,,,,
-75.1476381801,39.94870921,100 S 4th St,Philadelphie,19106,,,370080,,2014-09-29T22:20:27.965994+00:00,ptmadmin,282068,True,Platanus,occidentalis,,,American sycamore,,,,,,,,,,,,
-75.1545741344,39.9536031224,101-121 N 9th St,Philadelphia,19107,,,367989,,2014-09-29T22:19:37.482901+00:00,ptmadmin,279932,True,Acer,rubrum,,,Red maple,,,,,,,,,,,,
-75.1453886988,39.9541436153,301 Race Street,Philadelphia,19106,,,368169,,2014-09-29T22:19:41.156848+00:00,ptmadmin,280083,True,Quercus,rubra,,,Northern red oak,,,,,,,,,,,,
-75.1430215961,39.955710411,,Philadelphia,19106,,,368221,,2014-09-29T22:19:42.300353+00:00,ptmadmin,280132,True,Pyrus,calleryana,,,Callery pear,,,,,,,,,,,,
-75.1447053659,39.9563617551,,Philadelphia,19106,,,366888,,2014-09-29T22:19:12.014862+00:00,ptmadmin,278860,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.142632614,39.9549601904,,Philadelphia,19106,28.0,28.0,368256,,2014-10-02T12:57:38.094587+00:00,joeschiavo,280170,True,Liquidambar,styraciflua,,,Sweetgum,6.0,,,,,,,,Well/Pit,No,,
-75.1432080791,39.9525318061,106-120 N 2nd St,Philadelphia,19106,,,368263,,2014-09-29T22:19:43.417216+00:00,ptmadmin,280179,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1425761872,39.9500504559,,Philadelphia,19106,,,369852,,2014-09-29T22:20:22.500051+00:00,ptmadmin,281828,True,Syringa,reticulata,,,Japanese tree lilac,,,,,,,,,,,,
-75.1491387709,39.9500415515,34-64 South Independence Mall East,Philadelphia,19106,,,370026,,2014-09-29T22:20:26.748311+00:00,ptmadmin,282015,True,Quercus,acutissima,,,Sawtooth oak,,,,,,,,,,,,
